what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1398664524268
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1398664524268
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1398664528240
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1398664792593
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1398664799392
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1398664811696
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1398664811874
error,log,,,"Problems saving workspace",1398664813147
error,log,,,"Problems occurred while trying to save the state of the workbench.",1398664813148
stopped,bundle,org.eclipse.mtj.jmunit,1.0.1.v200909181641,"org.eclipse.mtj.jmunit",1398664813266
stopped,bundle,jmunit.framework,1.2.1.v200909181641,"jmunit.framework",1398664813267
stopped,bundle,org.eclipse.mtj.toolkit.microemu,1.0.0.v200909181641,"org.eclipse.mtj.toolkit.microemu",1398664813268
stopped,bundle,org.eclipse.mtj.toolkit.mpowerplayer,1.0.0.v200909181641,"org.eclipse.mtj.toolkit.mpowerplayer",1398664813269
stopped,bundle,org.eclipse.mtj.toolkit.nokia,1.0.0.v200909181641,"org.eclipse.mtj.toolkit.nokia",1398664813269
stopped,bundle,org.eclipse.mtj.toolkit.uei,1.0.1.v200909181641,"org.eclipse.mtj.toolkit.uei",1398664813270
stopped,bundle,org.eclipse.mtj.eswt.templates,1.0.0.v200909181641,"org.eclipse.mtj.eswt.templates",1398664813271
stopped,bundle,org.eclipse.mtj.ui,1.1.0.v200909181641,"org.eclipse.mtj.ui",1398664813271
stopped,bundle,org.eclipse.mtj.core,1.1.0.v200909181641,"org.eclipse.mtj.core",1398664813272
stopped,bundle,com.collabnet.subversion.merge,2.0.1,"com.collabnet.subversion.merge",1398664813294
stopped,bundle,org.eclipse.cdt.launch.remote,2.2.0.201002161416,"org.eclipse.cdt.launch.remote",1398664813294
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.mi.ui",1398664813295
stopped,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.201002161416,"org.eclipse.cdt.debug.mi.core",1398664813296
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.0.0.201002161416,"org.eclipse.cdt.dsf.gdb.ui",1398664813297
stopped,bundle,org.eclipse.cdt.dsf.ui,2.0.1.201002161416,"org.eclipse.cdt.dsf.ui",1398664813298
stopped,bundle,org.eclipse.cdt.launch,6.0.0.201002161416,"org.eclipse.cdt.launch",1398664813299
stopped,bundle,org.eclipse.cdt.debug.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.ui",1398664813300
stopped,bundle,org.eclipse.cdt.dsf.gdb,2.0.0.201002161416,"org.eclipse.cdt.dsf.gdb",1398664813301
stopped,bundle,org.eclipse.cdt.dsf,2.0.0.201002161416,"org.eclipse.cdt.dsf",1398664813302
stopped,bundle,org.eclipse.cdt.debug.core,6.0.0.201002161416,"org.eclipse.cdt.debug.core",1398664813303
stopped,bundle,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui",1398664813305
stopped,bundle,org.eclipse.cdt.core,5.1.2.201002161416,"org.eclipse.cdt.core",1398664813306
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1398664813307
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090610-1638,"org.eclipse.dltk.testing",1398664813308
stopped,bundle,org.eclipse.dltk.debug.ui,1.0.1.v20091111-1837,"org.eclipse.dltk.debug.ui",1398664813309
stopped,bundle,org.eclipse.dltk.formatter,1.0.1.v20090903-2153,"org.eclipse.dltk.formatter",1398664813310
stopped,bundle,org.eclipse.dltk.rse.ui,1.0.0.v20090610-1638,"org.eclipse.dltk.rse.ui",1398664813310
stopped,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090610-1638,"org.eclipse.dltk.validators.externalchecker",1398664813310
stopped,bundle,org.eclipse.dltk.validators.ui,1.0.0.v20090610-1638,"org.eclipse.dltk.validators.ui",1398664813310
stopped,bundle,org.eclipse.php.server.ui,2.1.1.v20090707-1108,"org.eclipse.php.server.ui",1398664813311
stopped,bundle,org.eclipse.php.debug.ui,2.1.1.v20090921-1100,"org.eclipse.php.debug.ui",1398664813311
stopped,bundle,org.eclipse.php.debug.core,2.1.1.v20090921-1100,"org.eclipse.php.debug.core",1398664813311
stopped,bundle,org.eclipse.php.ui,2.1.1.v20090921-1100,"org.eclipse.php.ui",1398664813311
stopped,bundle,org.eclipse.dltk.ui,1.0.2.v20100209-1928,"org.eclipse.dltk.ui",1398664813335
stopped,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1398664813337
stopped,bundle,org.eclipse.tml.device.qemuarm,0.3.0.200906152200,"org.eclipse.tml.device.qemuarm",1398664813337
stopped,bundle,org.eclipse.tml.device.qemu,0.2.0.200906152200,"org.eclipse.tml.device.qemu",1398664813338
stopped,bundle,org.eclipse.tml.device.qemureact,0.3.0.200906152200,"org.eclipse.tml.device.qemureact",1398664813339
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.0.v200904240436,"org.eclipse.wst.xsl.jaxp.debug.ui",1398664813340
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1398664813340
stopped,bundle,org.eclipse.mtj.pulsar.ui,1.0.1.v200909181641,"org.eclipse.mtj.pulsar.ui",1398664813341
stopped,bundle,org.tigris.subversion.subclipse.graph,1.0.7,"org.tigris.subversion.subclipse.graph",1398664813341
stopped,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1398664813341
stopped,bundle,org.tigris.subversion.subclipse.ui,1.6.10,"org.tigris.subversion.subclipse.ui",1398664813353
stopped,bundle,com.salesforce.ide.schemabrowser,28.0.1.201309101331,"com.salesforce.ide.schemabrowser",1398664813354
stopped,bundle,com.salesforce.ide.deployment,28.0.1.201309101331,"com.salesforce.ide.deployment",1398664813355
stopped,bundle,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors",1398664813355
stopped,bundle,com.salesforce.ide.ui.editors.intro,28.0.1.201309101331,"com.salesforce.ide.ui.editors.intro",1398664813356
stopped,bundle,com.salesforce.ide.upgrade,28.0.1.201309101331,"com.salesforce.ide.upgrade",1398664813356
stopped,bundle,com.salesforce.ide.ui,28.0.1.201309101331,"com.salesforce.ide.ui",1398664813356
